,P1.V3.C,P1.V5.C,P10.V3.C,P10.V5.C,P11.V3.C,P11.V5.C,P12.V3.C,P12.V5.C,P13.V3.C,P13.V5.C,P14.V3.C,P14.V5.C,P15.V3.C,P15.V5.C,P16.V3.C,P16.V5.C,P17.V3.C,P17.V5.C,P18.V3.C,P18.V5.C,P19.V3.C,P19.V5.C,P2.V3.C,P2.V5.C,P20.V3.C,P20.V5.C,P3.V3.C,P3.V5.C,P4.V3.C,P4.V5.C,P5.V3.C,P5.V5.C,P6.V3.C,P6.V5.C,P7.V3.C,P7.V5.C,P8.V3.C,P8.V5.C,P9.V3.C,P9.V5.C,P1.V3.L,P1.V5.L,P10.V3.L,P10.V5.L,P11.V3.L,P11.V5.L,P12.V3.L,P12.V5.L,P13.V3.L,P13.V5.L,P14.V3.L,P14.V5.L,P15.V3.L,P15.V5.L,P16.V3.L,P16.V5.L,P17.V3.L,P17.V5.L,P18.V3.L,P18.V5.L,P19.V3.L,P19.V5.L,P2.V3.L,P2.V5.L,P20.V3.L,P20.V5.L,P3.V3.L,P3.V5.L,P4.V3.L,P4.V5.L,P5.V3.L,P5.V5.L,P6.V3.L,P6.V5.L,P7.V3.L,P7.V5.L,P8.V3.L,P8.V5.L,P9.V3.L,P9.V5.L,P1.V3.CL,P1.V5.CL,P10.V3.CL,P10.V5.CL,P11.V3.CL,P11.V5.CL,P12.V3.CL,P12.V5.CL,P13.V3.CL,P13.V5.CL,P14.V3.CL,P14.V5.CL,P15.V3.CL,P15.V5.CL,P16.V3.CL,P16.V5.CL,P17.V3.CL,P17.V5.CL,P18.V3.CL,P18.V5.CL,P19.V3.CL,P19.V5.CL,P2.V3.CL,P2.V5.CL,P20.V3.CL,P20.V5.CL,P3.V3.CL,P3.V5.CL,P4.V3.CL,P4.V5.CL,P5.V3.CL,P5.V5.CL,P6.V3.CL,P6.V5.CL,P7.V3.CL,P7.V5.CL,P8.V3.CL,P8.V5.CL,P9.V3.CL,P9.V5.CL,total,Taxonomy
Zotu13,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2635,13,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0,0,0,1,82155,37280,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,895,19,0,3,0,0,0,0,123022,Bacteria(100.0);Actinobacteriota(100.0);Actinomycetia(100.0);Mycobacteriales(100.0);Mycobacteriaceae(100.0);Corynebacterium(100.0);Corynebacterium sp008930665(75.46666666666665)
Zotu14,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2573,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,78720,35404,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,866,33,0,1,0,0,0,0,117624,Bacteria(100.0);Actinobacteriota(100.0);Actinomycetia(100.0);Mycobacteriales(100.0);Mycobacteriaceae(100.0);Corynebacterium(100.0);Corynebacterium sp008930665(74.36666666666665)
Zotu16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,16,864,28,9,5327,22643,1947,2827,1,7,97,7742,375,5163,10053,6566,7833,340,17,1,640,3,10,868,5627,4530,0,1,46,677,436,807,38,0,1880,9,4619,12349,0,0,0,0,0,1,0,1,235,318,0,1,1,1,0,0,3,7,28,105,5,0,2,0,4,1299,3,3,0,1,1,0,0,0,0,0,0,0,2,88,108357,Bacteria(99.99999999999996);Firmicutes(99.99999999999996);Bacilli(99.99999999999996);Staphylococcales(99.99999999999996);Staphylococcaceae(99.99999999999996);Staphylococcus(99.99999999999996);Staphylococcus capitis(99.99999999999996)
Zotu18,12,3,45,0,2,0,24,0,135,815,0,0,1,0,0,1,1,0,1,6,40,4,0,0,1,0,0,0,3,0,0,166,1,1,0,2,2,0,400,160,2,26,27,897,31,8,5470,22116,1838,2750,2,2,83,8103,327,5218,9829,6583,8198,326,25,3,663,2,19,917,5695,4213,1,1,35,722,378,801,49,0,1827,6,4814,11980,0,0,1,0,0,0,2,0,194,280,1,1,1,1,0,1,1,11,15,115,10,0,1,1,10,1367,2,2,0,1,2,0,1,0,0,1,0,0,1,82,107922,Bacteria(99.99999999999996);Firmicutes(99.99999999999996);Bacilli(99.99999999999996);Staphylococcales(99.99999999999996);Staphylococcaceae(99.99999999999996);Staphylococcus(99.99999999999996);Staphylococcus capitis(99.99999999999996)
Zotu21,0,76,69,0,0,0,0,0,1248,6577,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,604,0,0,1,0,0,0,0,0,0,0,17,0,1,0,0,772,738,1326,0,406,0,0,2054,3252,44,913,2150,5268,3119,2465,2795,1,1203,2,1214,43,398,365,296,2380,138,12157,0,0,283,0,0,562,133,0,0,89,591,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56591,Bacteria(100.0);Actinobacteriota(100.0);Actinomycetia(100.0);Mycobacteriales(100.0);Mycobacteriaceae(100.0);Lawsonella(100.0);Lawsonella clevelandensis_A(71.5)
Zotu20,21,2,833,0,14,35,0,39,1842,3930,648,7,1,0,2,157,0,0,7,0,182,7,0,0,24,23,0,5,0,0,0,0,11,0,0,28,34,9,484,0,17,70,244,332,180,329,439,1247,2051,3887,1171,3377,820,487,1035,1925,2940,2703,3741,216,140,587,290,345,525,2566,69,155,33,0,373,381,134,969,37,442,279,4676,3010,1559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56577,Bacteria(100.0);Proteobacteria(70.25);Gammaproteobacteria(70.25);Enterobacterales(70.25);Enterobacteriaceae(70.25);Salmonella(70.25);Salmonella enterica(70.25)
Zotu19,47,1,866,2,10,20,0,38,1790,3812,603,3,0,0,2,155,1,0,11,0,183,6,0,0,12,32,0,6,2,0,0,0,4,0,0,44,38,10,483,0,18,90,265,353,141,327,438,1274,1998,3880,1213,3299,814,506,1125,2145,2838,2590,3675,216,174,535,351,312,521,2463,47,177,29,1,391,394,146,880,65,428,281,4790,3044,1472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56255,Bacteria(100.0);Proteobacteria(71.125);Gammaproteobacteria(71.125);Enterobacterales(71.125);Enterobacteriaceae(71.125);Salmonella(71.125);Salmonella enterica(71.125)
Zotu22,0,59,60,0,0,0,0,0,1200,5557,0,21,0,0,0,0,0,0,0,0,0,0,0,0,1,611,0,1,1,0,0,1,1,1,0,0,22,0,2,0,0,657,687,1349,0,360,0,0,1920,3280,56,977,1797,5078,3126,2572,2622,4,1164,0,1153,21,348,341,224,2183,167,10901,0,0,206,0,0,476,112,0,0,80,570,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52565,Bacteria(100.0);Actinobacteriota(100.0);Actinomycetia(100.0);Mycobacteriales(100.0);Mycobacteriaceae(100.0);Lawsonella(100.0);Lawsonella clevelandensis_A(79.75)
Zotu26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458,0,0,0,0,1571,366,176,0,2877,46,0,0,306,108,0,314,60,1461,30393,30,0,0,0,3,0,1,21,0,7048,1683,424,174,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,8,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,47646,Bacteria(100.00000000000009);Proteobacteria(100.00000000000009);Gammaproteobacteria(100.00000000000009);Pseudomonadales(100.00000000000009);Moraxellaceae(100.00000000000009);Moraxella_A(100.00000000000009);Moraxella_A osloensis(58.33333333333337)
Zotu25,0,0,0,0,0,0,0,0,0,0,64,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,528,0,0,0,0,1508,346,137,0,2978,43,0,0,284,98,0,325,78,1609,29668,29,0,0,0,5,0,0,26,0,7020,1632,426,139,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,5,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,46995,Bacteria(100.00000000000009);Proteobacteria(100.00000000000009);Gammaproteobacteria(100.00000000000009);Pseudomonadales(100.00000000000009);Moraxellaceae(100.00000000000009);Moraxella_A(100.00000000000009);Moraxella_A osloensis(58.33333333333337)
